paperId,referenceId,year
00040bdd447f041a50ae95fd51926cf435ef1eba-1,0152f2ba5f4765a313e4e41f735a37fca52a2a59,2019
00040bdd447f041a50ae95fd51926cf435ef1eba-1,0082dd304daa17951de672ecfbc17175da4c320e,2023
00040bdd447f041a50ae95fd51926cf435ef1eba-2,00cb8781b1c991659b9ba6e525eaadf13fe8f359,2024
00040bdd447f041a50ae95fd51926cf435ef1eba-2,00c9c8a970574dd80617c4d63493567d45f87888,2020
00040bdd447f041a50ae95fd51926cf435ef1eba-3,0007cd4870abff3c79537a4722d2f6365eb5468f,2024
00040bdd447f041a50ae95fd51926cf435ef1eba-3,011efa271f4a51f73312e407d84161b7819ab066,2021
00040bdd447f041a50ae95fd51926cf435ef1eba-3,00f2dc9cd83b6730ff3c458b73d6c5507dcc36e4,2022
00040bdd447f041a50ae95fd51926cf435ef1eba-4,0101bef3602965eb124803564e37141cff2333ea,2020
00040bdd447f041a50ae95fd51926cf435ef1eba-4,00c563820989ba36393a889743a97bcedf47dcd2,2022
00040bdd447f041a50ae95fd51926cf435ef1eba-5,0038c3c38fd975d3373d63e76b7db5d2c7bf94bf,2021
00040bdd447f041a50ae95fd51926cf435ef1eba-6,00e7411e4c52e499e01bde5072eb07940d162ad7,2019
0007cd4870abff3c79537a4722d2f6365eb5468f-1,00ada6a5c6607c63b7e060d040ddee120d5107ee,2024
0007cd4870abff3c79537a4722d2f6365eb5468f-2,00433ea2a6d853403019b8b165030bacde9f20d3,2020
0007cd4870abff3c79537a4722d2f6365eb5468f-2,0047798ed5bbb87084440d31345ae318e1e3a1b4,2023
0007cd4870abff3c79537a4722d2f6365eb5468f-3,00240aaeb57dba9886d1a695176c97a17ad97885,2022
0007cd4870abff3c79537a4722d2f6365eb5468f-3,008eb1704c39eeee3efc8db2db53f24d74743e06,2020
0007cd4870abff3c79537a4722d2f6365eb5468f-3,00296433175f54b52d49cb21f57ab608afe2d1bf,2023
0007cd4870abff3c79537a4722d2f6365eb5468f-4,002050388cdb39d6413ce48230496e8ccc08df04,2021
0009c4975fcb502a4af0e53d46ec6255c13216a1-1,001fed0e97d344c3aa563c704356099a05111949,2022
0009c4975fcb502a4af0e53d46ec6255c13216a1-1,00bc156bac2b39fab1689fe047b23c9f216d7f29,2023
0009c4975fcb502a4af0e53d46ec6255c13216a1-2,00735bf6a1ad14a343650e7a4b6661eda04ddd60,2021
0009c4975fcb502a4af0e53d46ec6255c13216a1-2,0151ab779171add3177b5eacc5b42fed8d924e26,2021
0009c4975fcb502a4af0e53d46ec6255c13216a1-3,0013693bccf244dad3d321558ac7986bc0230db9,2022
0009c4975fcb502a4af0e53d46ec6255c13216a1-3,00f2dc9cd83b6730ff3c458b73d6c5507dcc36e4,2020
0009c4975fcb502a4af0e53d46ec6255c13216a1-4,009b13bb48af9d33dbeb961f044133c7c21cec89,2019
0009c4975fcb502a4af0e53d46ec6255c13216a1-4,00363213c1d91a7d051c5ccbd360e11c8210aae4,2021
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-1,0085bc8aa185ebb0fb18f55cc197c8d98232445d,2019
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-2,00672bec9dd0e755f9c375f912c0f1c3918a6b74,2024
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-2,00196a9ef3e29d16a026e6fa69886e273c685cac,2021
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-2,000cd7ac3435007cca292fc8f1bac86b7a066467,2023
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-3,0018e888e83bfd993bc49455a8787577ab28a19c,2019
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-3,0013693bccf244dad3d321558ac7986bc0230db9,2020
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-4,0018e888e83bfd993bc49455a8787577ab28a19c,2023
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-4,00e346f93fe1eda00ce990a13a8ea8ba66bfc37b,2023
000bc721cefe3f2ba2425e8b95b042dc1e9778f9-5,00c563820989ba36393a889743a97bcedf47dcd2,2021
000cd7ac3435007cca292fc8f1bac86b7a066467-1,002523ab48c0a79567a275c5ba219e95e37d9cca,2021
000cd7ac3435007cca292fc8f1bac86b7a066467-1,00b0779034bc13da8f4eb18ed3d0c3466d759b91,2021
